========
Segment 0, number of frames = 41853, viterbi-score = 212271.426068
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,P1(0)=6,P2(0)=14,Z(0)=0
Ptn-22157 C: G(22157)=5,P1(22157)=6,P2(22157)=14,Z(22157)=0
Ptn-22158 C: G(22158)=5,P1(22158)=6,P2(22158)=14,Z(22158)=0
Ptn-22159 C: G(22159)=8,P1(22159)=6,P2(22159)=14,Z(22159)=0
Ptn-22160 C: G(22160)=8,P1(22160)=6,P2(22160)=14,Z(22160)=0
Ptn-22161 C: G(22161)=8,P1(22161)=6,P2(22161)=14,Z(22161)=0
Ptn-22162 C: G(22162)=8,P1(22162)=6,P2(22162)=14,Z(22162)=0
Ptn-22163 C: G(22163)=8,P1(22163)=6,P2(22163)=14,Z(22163)=0
Ptn-22164 C: G(22164)=8,P1(22164)=6,P2(22164)=14,Z(22164)=0
Ptn-22165 C: G(22165)=8,P1(22165)=6,P2(22165)=14,Z(22165)=0
Ptn-22166 C: G(22166)=8,P1(22166)=6,P2(22166)=14,Z(22166)=0
Ptn-22167 C: G(22167)=8,P1(22167)=6,P2(22167)=14,Z(22167)=0
Ptn-22168 C: G(22168)=8,P1(22168)=6,P2(22168)=14,Z(22168)=0
Ptn-22169 C: G(22169)=8,P1(22169)=6,P2(22169)=14,Z(22169)=0
Ptn-22170 C: G(22170)=8,P1(22170)=6,P2(22170)=14,Z(22170)=0
Ptn-22171 C: G(22171)=8,P1(22171)=6,P2(22171)=14,Z(22171)=0
Ptn-22172 C: G(22172)=8,P1(22172)=6,P2(22172)=14,Z(22172)=0
Ptn-22173 C: G(22173)=8,P1(22173)=6,P2(22173)=14,Z(22173)=0
Ptn-22174 C: G(22174)=8,P1(22174)=6,P2(22174)=14,Z(22174)=0
Ptn-22175 C: G(22175)=8,P1(22175)=6,P2(22175)=14,Z(22175)=0
Ptn-22176 C: G(22176)=5,P1(22176)=6,P2(22176)=14,Z(22176)=1
Ptn-22177 C: G(22177)=5,P1(22177)=6,P2(22177)=14,Z(22177)=1
Ptn-22178 C: G(22178)=5,P1(22178)=6,P2(22178)=14,Z(22178)=1
Ptn-22179 C: G(22179)=5,P1(22179)=6,P2(22179)=14,Z(22179)=1
Ptn-22180 C: G(22180)=5,P1(22180)=6,P2(22180)=14,Z(22180)=1
Ptn-22181 C: G(22181)=5,P1(22181)=6,P2(22181)=14,Z(22181)=1
Ptn-22182 C: G(22182)=5,P1(22182)=6,P2(22182)=14,Z(22182)=1
Ptn-22183 C: G(22183)=5,P1(22183)=6,P2(22183)=14,Z(22183)=1
Ptn-22184 C: G(22184)=5,P1(22184)=6,P2(22184)=14,Z(22184)=1
Ptn-22185 C: G(22185)=5,P1(22185)=6,P2(22185)=14,Z(22185)=1
Ptn-22186 C: G(22186)=5,P1(22186)=6,P2(22186)=14,Z(22186)=1
Ptn-22187 C: G(22187)=5,P1(22187)=6,P2(22187)=14,Z(22187)=1
Ptn-22188 C: G(22188)=5,P1(22188)=6,P2(22188)=14,Z(22188)=1
Ptn-22189 C: G(22189)=5,P1(22189)=6,P2(22189)=14,Z(22189)=0
Ptn-22190 C: G(22190)=5,P1(22190)=6,P2(22190)=14,Z(22190)=0
Ptn-22191 C: G(22191)=5,P1(22191)=6,P2(22191)=14,Z(22191)=0
Ptn-22192 C: G(22192)=5,P1(22192)=6,P2(22192)=14,Z(22192)=0
Ptn-22193 C: G(22193)=5,P1(22193)=6,P2(22193)=14,Z(22193)=0
Ptn-22194 C: G(22194)=8,P1(22194)=6,P2(22194)=14,Z(22194)=0
Ptn-22195 C: G(22195)=8,P1(22195)=6,P2(22195)=14,Z(22195)=0
Ptn-22196 C: G(22196)=8,P1(22196)=6,P2(22196)=14,Z(22196)=0
Ptn-22197 C: G(22197)=8,P1(22197)=6,P2(22197)=14,Z(22197)=0
Ptn-22198 C: G(22198)=8,P1(22198)=6,P2(22198)=14,Z(22198)=0
Ptn-22199 C: G(22199)=8,P1(22199)=6,P2(22199)=14,Z(22199)=0
Ptn-22200 C: G(22200)=8,P1(22200)=6,P2(22200)=14,Z(22200)=0
Ptn-22201 C: G(22201)=8,P1(22201)=6,P2(22201)=14,Z(22201)=0
Ptn-22202 C: G(22202)=8,P1(22202)=6,P2(22202)=14,Z(22202)=0
Ptn-22203 C: G(22203)=8,P1(22203)=6,P2(22203)=14,Z(22203)=0
Ptn-22204 C: G(22204)=8,P1(22204)=6,P2(22204)=14,Z(22204)=0
Ptn-22205 C: G(22205)=8,P1(22205)=6,P2(22205)=14,Z(22205)=0
Ptn-22206 C: G(22206)=8,P1(22206)=6,P2(22206)=14,Z(22206)=0
Ptn-22207 C: G(22207)=5,P1(22207)=6,P2(22207)=14,Z(22207)=1
Ptn-22208 C: G(22208)=5,P1(22208)=6,P2(22208)=14,Z(22208)=1
Ptn-22209 C: G(22209)=5,P1(22209)=6,P2(22209)=14,Z(22209)=1
Ptn-22210 C: G(22210)=8,P1(22210)=6,P2(22210)=14,Z(22210)=0
Ptn-22211 C: G(22211)=8,P1(22211)=6,P2(22211)=14,Z(22211)=0
Ptn-22212 C: G(22212)=8,P1(22212)=6,P2(22212)=14,Z(22212)=0
Ptn-22213 C: G(22213)=8,P1(22213)=6,P2(22213)=14,Z(22213)=0
Ptn-22214 C: G(22214)=8,P1(22214)=6,P2(22214)=14,Z(22214)=0
Ptn-22215 C: G(22215)=8,P1(22215)=6,P2(22215)=14,Z(22215)=0
Ptn-22216 C: G(22216)=8,P1(22216)=6,P2(22216)=14,Z(22216)=0
Ptn-22217 C: G(22217)=8,P1(22217)=6,P2(22217)=14,Z(22217)=0
Ptn-22218 C: G(22218)=8,P1(22218)=6,P2(22218)=14,Z(22218)=0
Ptn-22219 C: G(22219)=8,P1(22219)=6,P2(22219)=14,Z(22219)=0
Ptn-22220 C: G(22220)=8,P1(22220)=6,P2(22220)=14,Z(22220)=0
Ptn-22221 C: G(22221)=8,P1(22221)=6,P2(22221)=14,Z(22221)=0
Ptn-22222 C: G(22222)=8,P1(22222)=6,P2(22222)=14,Z(22222)=0
Ptn-22223 C: G(22223)=8,P1(22223)=6,P2(22223)=14,Z(22223)=0
Ptn-22224 C: G(22224)=8,P1(22224)=6,P2(22224)=14,Z(22224)=0
Ptn-22225 C: G(22225)=8,P1(22225)=6,P2(22225)=14,Z(22225)=0
Ptn-22226 C: G(22226)=8,P1(22226)=6,P2(22226)=14,Z(22226)=0
Ptn-22227 C: G(22227)=9,P1(22227)=6,P2(22227)=14,Z(22227)=0
Ptn-22228 C: G(22228)=9,P1(22228)=6,P2(22228)=14,Z(22228)=0
Ptn-22229 C: G(22229)=9,P1(22229)=6,P2(22229)=14,Z(22229)=0
Ptn-22230 C: G(22230)=9,P1(22230)=6,P2(22230)=14,Z(22230)=0
Ptn-22231 C: G(22231)=9,P1(22231)=6,P2(22231)=14,Z(22231)=0
Ptn-22232 C: G(22232)=8,P1(22232)=6,P2(22232)=14,Z(22232)=0
Ptn-22233 C: G(22233)=8,P1(22233)=6,P2(22233)=14,Z(22233)=0
Ptn-22234 C: G(22234)=8,P1(22234)=6,P2(22234)=14,Z(22234)=0
Ptn-22235 C: G(22235)=8,P1(22235)=6,P2(22235)=14,Z(22235)=0
Ptn-22236 C: G(22236)=8,P1(22236)=6,P2(22236)=14,Z(22236)=0
Ptn-22237 C: G(22237)=8,P1(22237)=6,P2(22237)=14,Z(22237)=0
Ptn-22238 C: G(22238)=8,P1(22238)=6,P2(22238)=14,Z(22238)=0
Ptn-22239 C: G(22239)=8,P1(22239)=6,P2(22239)=14,Z(22239)=0
Ptn-22240 C: G(22240)=8,P1(22240)=6,P2(22240)=14,Z(22240)=0
Ptn-22241 C: G(22241)=8,P1(22241)=6,P2(22241)=14,Z(22241)=0
Ptn-22242 C: G(22242)=8,P1(22242)=6,P2(22242)=14,Z(22242)=0
Ptn-22243 C: G(22243)=8,P1(22243)=6,P2(22243)=14,Z(22243)=0
Ptn-22244 C: G(22244)=8,P1(22244)=6,P2(22244)=14,Z(22244)=0
Ptn-22245 C: G(22245)=8,P1(22245)=6,P2(22245)=14,Z(22245)=0
Ptn-22246 C: G(22246)=8,P1(22246)=6,P2(22246)=14,Z(22246)=0
Ptn-22247 C: G(22247)=8,P1(22247)=6,P2(22247)=14,Z(22247)=0
Ptn-22248 C: G(22248)=8,P1(22248)=6,P2(22248)=14,Z(22248)=0
Ptn-22249 C: G(22249)=8,P1(22249)=6,P2(22249)=14,Z(22249)=0
Ptn-22250 C: G(22250)=8,P1(22250)=6,P2(22250)=14,Z(22250)=0
Ptn-22251 C: G(22251)=8,P1(22251)=6,P2(22251)=14,Z(22251)=0
Ptn-22252 C: G(22252)=8,P1(22252)=6,P2(22252)=14,Z(22252)=0
Ptn-22253 C: G(22253)=8,P1(22253)=6,P2(22253)=14,Z(22253)=0
Ptn-22254 C: G(22254)=8,P1(22254)=6,P2(22254)=14,Z(22254)=0
Ptn-22255 C: G(22255)=8,P1(22255)=6,P2(22255)=14,Z(22255)=0
Ptn-22256 C: G(22256)=8,P1(22256)=6,P2(22256)=14,Z(22256)=0
Ptn-22257 C: G(22257)=8,P1(22257)=6,P2(22257)=14,Z(22257)=0
Ptn-22258 C: G(22258)=8,P1(22258)=6,P2(22258)=14,Z(22258)=0
Ptn-22259 C: G(22259)=8,P1(22259)=6,P2(22259)=14,Z(22259)=0
Ptn-22260 C: G(22260)=8,P1(22260)=6,P2(22260)=14,Z(22260)=0
Ptn-22261 C: G(22261)=8,P1(22261)=6,P2(22261)=14,Z(22261)=0
Ptn-22262 C: G(22262)=8,P1(22262)=6,P2(22262)=14,Z(22262)=0
Ptn-22263 C: G(22263)=8,P1(22263)=6,P2(22263)=14,Z(22263)=0
Ptn-22264 C: G(22264)=8,P1(22264)=6,P2(22264)=14,Z(22264)=0
Ptn-22265 C: G(22265)=8,P1(22265)=6,P2(22265)=14,Z(22265)=0
Ptn-22266 C: G(22266)=8,P1(22266)=6,P2(22266)=14,Z(22266)=0
Ptn-22267 C: G(22267)=8,P1(22267)=6,P2(22267)=14,Z(22267)=0
Ptn-22268 C: G(22268)=8,P1(22268)=6,P2(22268)=14,Z(22268)=0
Ptn-22269 C: G(22269)=8,P1(22269)=6,P2(22269)=14,Z(22269)=0
Ptn-22270 C: G(22270)=8,P1(22270)=6,P2(22270)=14,Z(22270)=0
Ptn-22271 C: G(22271)=8,P1(22271)=6,P2(22271)=14,Z(22271)=0
Ptn-22272 C: G(22272)=8,P1(22272)=6,P2(22272)=14,Z(22272)=0
Ptn-22273 C: G(22273)=8,P1(22273)=6,P2(22273)=14,Z(22273)=0
Ptn-22274 C: G(22274)=8,P1(22274)=6,P2(22274)=14,Z(22274)=0
Ptn-22275 C: G(22275)=8,P1(22275)=6,P2(22275)=14,Z(22275)=0
Ptn-22276 C: G(22276)=8,P1(22276)=6,P2(22276)=14,Z(22276)=0
Ptn-22277 C: G(22277)=8,P1(22277)=6,P2(22277)=14,Z(22277)=0
Ptn-22278 C: G(22278)=8,P1(22278)=6,P2(22278)=14,Z(22278)=0
Ptn-22279 C: G(22279)=8,P1(22279)=6,P2(22279)=14,Z(22279)=0
Ptn-22280 C: G(22280)=8,P1(22280)=6,P2(22280)=14,Z(22280)=0
Ptn-22281 C: G(22281)=8,P1(22281)=6,P2(22281)=14,Z(22281)=0
Ptn-22282 C: G(22282)=8,P1(22282)=6,P2(22282)=14,Z(22282)=0
Ptn-22283 C: G(22283)=8,P1(22283)=6,P2(22283)=14,Z(22283)=0
Ptn-22284 C: G(22284)=8,P1(22284)=6,P2(22284)=14,Z(22284)=0
Ptn-22285 C: G(22285)=8,P1(22285)=6,P2(22285)=14,Z(22285)=0
Ptn-22286 C: G(22286)=8,P1(22286)=6,P2(22286)=14,Z(22286)=0
Ptn-22287 C: G(22287)=8,P1(22287)=6,P2(22287)=14,Z(22287)=0
Ptn-22288 C: G(22288)=8,P1(22288)=6,P2(22288)=14,Z(22288)=0
Ptn-22289 C: G(22289)=8,P1(22289)=6,P2(22289)=14,Z(22289)=0
Ptn-22290 C: G(22290)=8,P1(22290)=6,P2(22290)=14,Z(22290)=0
Ptn-22291 C: G(22291)=8,P1(22291)=6,P2(22291)=14,Z(22291)=0
Ptn-22292 C: G(22292)=8,P1(22292)=6,P2(22292)=14,Z(22292)=0
Ptn-22293 C: G(22293)=8,P1(22293)=6,P2(22293)=14,Z(22293)=0
Ptn-22294 C: G(22294)=8,P1(22294)=6,P2(22294)=14,Z(22294)=0
Ptn-22295 C: G(22295)=8,P1(22295)=6,P2(22295)=14,Z(22295)=0
Ptn-22296 C: G(22296)=8,P1(22296)=6,P2(22296)=14,Z(22296)=0
Ptn-22297 C: G(22297)=8,P1(22297)=6,P2(22297)=14,Z(22297)=0
Ptn-22298 C: G(22298)=8,P1(22298)=6,P2(22298)=14,Z(22298)=0
Ptn-22299 C: G(22299)=8,P1(22299)=6,P2(22299)=14,Z(22299)=0
Ptn-22300 C: G(22300)=8,P1(22300)=6,P2(22300)=14,Z(22300)=0
Ptn-22301 C: G(22301)=8,P1(22301)=6,P2(22301)=14,Z(22301)=0
Ptn-22302 C: G(22302)=8,P1(22302)=6,P2(22302)=14,Z(22302)=0
Ptn-22303 C: G(22303)=8,P1(22303)=6,P2(22303)=14,Z(22303)=0
Ptn-22304 C: G(22304)=8,P1(22304)=6,P2(22304)=14,Z(22304)=0
Ptn-22305 C: G(22305)=8,P1(22305)=6,P2(22305)=14,Z(22305)=0
Ptn-22306 C: G(22306)=8,P1(22306)=6,P2(22306)=14,Z(22306)=0
Ptn-22307 C: G(22307)=8,P1(22307)=6,P2(22307)=14,Z(22307)=0
Ptn-22308 C: G(22308)=8,P1(22308)=6,P2(22308)=14,Z(22308)=0
Ptn-22309 C: G(22309)=8,P1(22309)=6,P2(22309)=14,Z(22309)=0
Ptn-22310 C: G(22310)=8,P1(22310)=6,P2(22310)=14,Z(22310)=0
Ptn-22311 C: G(22311)=8,P1(22311)=6,P2(22311)=14,Z(22311)=0
Ptn-22312 C: G(22312)=8,P1(22312)=6,P2(22312)=14,Z(22312)=0
Ptn-22313 C: G(22313)=8,P1(22313)=6,P2(22313)=14,Z(22313)=0
Ptn-22314 C: G(22314)=8,P1(22314)=6,P2(22314)=14,Z(22314)=0
Ptn-22315 C: G(22315)=8,P1(22315)=6,P2(22315)=14,Z(22315)=0
Ptn-22316 C: G(22316)=8,P1(22316)=6,P2(22316)=14,Z(22316)=0
Ptn-22317 C: G(22317)=8,P1(22317)=6,P2(22317)=14,Z(22317)=0
Ptn-22318 C: G(22318)=8,P1(22318)=6,P2(22318)=14,Z(22318)=0
Ptn-22319 C: G(22319)=8,P1(22319)=6,P2(22319)=14,Z(22319)=0
Ptn-22320 C: G(22320)=8,P1(22320)=6,P2(22320)=14,Z(22320)=0
Ptn-22321 C: G(22321)=8,P1(22321)=6,P2(22321)=14,Z(22321)=0
Ptn-22322 C: G(22322)=8,P1(22322)=6,P2(22322)=14,Z(22322)=0
Ptn-22323 C: G(22323)=8,P1(22323)=6,P2(22323)=14,Z(22323)=0
Ptn-22324 C: G(22324)=8,P1(22324)=6,P2(22324)=14,Z(22324)=0
Ptn-22325 C: G(22325)=8,P1(22325)=6,P2(22325)=14,Z(22325)=0
Ptn-22326 C: G(22326)=8,P1(22326)=6,P2(22326)=14,Z(22326)=0
Ptn-22327 C: G(22327)=8,P1(22327)=6,P2(22327)=14,Z(22327)=0
Ptn-22328 C: G(22328)=8,P1(22328)=6,P2(22328)=14,Z(22328)=0
Ptn-22329 C: G(22329)=8,P1(22329)=6,P2(22329)=14,Z(22329)=0
Ptn-22330 C: G(22330)=8,P1(22330)=6,P2(22330)=14,Z(22330)=0
Ptn-22331 C: G(22331)=8,P1(22331)=6,P2(22331)=14,Z(22331)=0
Ptn-22332 C: G(22332)=8,P1(22332)=6,P2(22332)=14,Z(22332)=0
Ptn-22333 C: G(22333)=8,P1(22333)=6,P2(22333)=14,Z(22333)=0
Ptn-22334 C: G(22334)=8,P1(22334)=6,P2(22334)=14,Z(22334)=0
Ptn-22335 C: G(22335)=8,P1(22335)=6,P2(22335)=14,Z(22335)=0
Ptn-22336 C: G(22336)=8,P1(22336)=6,P2(22336)=14,Z(22336)=0
Ptn-22337 C: G(22337)=8,P1(22337)=6,P2(22337)=14,Z(22337)=0
Ptn-22338 C: G(22338)=8,P1(22338)=6,P2(22338)=14,Z(22338)=0
Ptn-22339 C: G(22339)=8,P1(22339)=6,P2(22339)=14,Z(22339)=0
Ptn-22340 C: G(22340)=8,P1(22340)=6,P2(22340)=14,Z(22340)=0
Ptn-22341 C: G(22341)=8,P1(22341)=6,P2(22341)=14,Z(22341)=0
Ptn-22342 C: G(22342)=8,P1(22342)=6,P2(22342)=14,Z(22342)=0
Ptn-22343 C: G(22343)=8,P1(22343)=6,P2(22343)=14,Z(22343)=0
Ptn-22344 C: G(22344)=8,P1(22344)=6,P2(22344)=14,Z(22344)=0
Ptn-22345 C: G(22345)=8,P1(22345)=6,P2(22345)=14,Z(22345)=0
Ptn-22346 C: G(22346)=8,P1(22346)=6,P2(22346)=14,Z(22346)=0
Ptn-22347 C: G(22347)=8,P1(22347)=6,P2(22347)=14,Z(22347)=0
Ptn-22348 C: G(22348)=8,P1(22348)=6,P2(22348)=14,Z(22348)=0
Ptn-22349 C: G(22349)=8,P1(22349)=6,P2(22349)=14,Z(22349)=0
Ptn-22350 C: G(22350)=8,P1(22350)=6,P2(22350)=14,Z(22350)=0
Ptn-22351 C: G(22351)=8,P1(22351)=6,P2(22351)=14,Z(22351)=0
Ptn-22352 C: G(22352)=9,P1(22352)=6,P2(22352)=14,Z(22352)=0
Ptn-22353 C: G(22353)=9,P1(22353)=6,P2(22353)=14,Z(22353)=0
Ptn-22354 C: G(22354)=9,P1(22354)=6,P2(22354)=14,Z(22354)=0
Ptn-22355 C: G(22355)=9,P1(22355)=6,P2(22355)=14,Z(22355)=0
Ptn-22356 C: G(22356)=9,P1(22356)=6,P2(22356)=14,Z(22356)=0
Ptn-22357 C: G(22357)=9,P1(22357)=6,P2(22357)=14,Z(22357)=0
Ptn-22358 C: G(22358)=9,P1(22358)=6,P2(22358)=14,Z(22358)=0
Ptn-22359 C: G(22359)=9,P1(22359)=6,P2(22359)=14,Z(22359)=0
Ptn-22360 C: G(22360)=9,P1(22360)=6,P2(22360)=14,Z(22360)=0
Ptn-22361 C: G(22361)=9,P1(22361)=6,P2(22361)=14,Z(22361)=0
Ptn-22362 C: G(22362)=8,P1(22362)=6,P2(22362)=14,Z(22362)=0
Ptn-22363 C: G(22363)=8,P1(22363)=6,P2(22363)=14,Z(22363)=0
Ptn-22364 C: G(22364)=8,P1(22364)=6,P2(22364)=14,Z(22364)=0
Ptn-22365 C: G(22365)=8,P1(22365)=6,P2(22365)=14,Z(22365)=0
Ptn-22366 C: G(22366)=8,P1(22366)=6,P2(22366)=14,Z(22366)=0
Ptn-22367 C: G(22367)=8,P1(22367)=6,P2(22367)=14,Z(22367)=0
Ptn-22368 C: G(22368)=8,P1(22368)=6,P2(22368)=14,Z(22368)=0
Ptn-22369 C: G(22369)=8,P1(22369)=6,P2(22369)=14,Z(22369)=0
Ptn-22370 C: G(22370)=9,P1(22370)=6,P2(22370)=14,Z(22370)=0
Ptn-22371 C: G(22371)=9,P1(22371)=6,P2(22371)=14,Z(22371)=0
Ptn-22372 C: G(22372)=9,P1(22372)=6,P2(22372)=14,Z(22372)=0
Ptn-22373 C: G(22373)=9,P1(22373)=6,P2(22373)=14,Z(22373)=0
Ptn-22374 C: G(22374)=9,P1(22374)=6,P2(22374)=14,Z(22374)=0
Ptn-22375 C: G(22375)=9,P1(22375)=6,P2(22375)=14,Z(22375)=0
Ptn-22376 C: G(22376)=9,P1(22376)=6,P2(22376)=14,Z(22376)=0
Ptn-22377 C: G(22377)=9,P1(22377)=6,P2(22377)=14,Z(22377)=0
Ptn-22378 C: G(22378)=9,P1(22378)=6,P2(22378)=14,Z(22378)=0
Ptn-22379 C: G(22379)=9,P1(22379)=6,P2(22379)=14,Z(22379)=0
Ptn-22380 C: G(22380)=9,P1(22380)=6,P2(22380)=14,Z(22380)=0
Ptn-22381 C: G(22381)=9,P1(22381)=6,P2(22381)=14,Z(22381)=0
Ptn-22382 C: G(22382)=9,P1(22382)=6,P2(22382)=14,Z(22382)=0
Ptn-22383 C: G(22383)=9,P1(22383)=6,P2(22383)=14,Z(22383)=0
Ptn-22384 C: G(22384)=9,P1(22384)=6,P2(22384)=14,Z(22384)=0
Ptn-22385 C: G(22385)=9,P1(22385)=6,P2(22385)=14,Z(22385)=0
Ptn-22386 C: G(22386)=9,P1(22386)=6,P2(22386)=14,Z(22386)=0
Ptn-22387 C: G(22387)=9,P1(22387)=6,P2(22387)=14,Z(22387)=0
Ptn-22388 C: G(22388)=9,P1(22388)=6,P2(22388)=14,Z(22388)=0
Ptn-22389 C: G(22389)=9,P1(22389)=6,P2(22389)=14,Z(22389)=0
Ptn-22390 C: G(22390)=9,P1(22390)=6,P2(22390)=14,Z(22390)=0
Ptn-22391 C: G(22391)=9,P1(22391)=6,P2(22391)=14,Z(22391)=0
Ptn-22392 C: G(22392)=5,P1(22392)=6,P2(22392)=14,Z(22392)=0
Ptn-22393 C: G(22393)=5,P1(22393)=6,P2(22393)=14,Z(22393)=0
Ptn-22394 C: G(22394)=8,P1(22394)=6,P2(22394)=14,Z(22394)=0
Ptn-22395 C: G(22395)=8,P1(22395)=6,P2(22395)=14,Z(22395)=0
Ptn-22396 C: G(22396)=8,P1(22396)=6,P2(22396)=14,Z(22396)=0
Ptn-22397 C: G(22397)=8,P1(22397)=6,P2(22397)=14,Z(22397)=0
Ptn-22398 C: G(22398)=8,P1(22398)=6,P2(22398)=14,Z(22398)=0
Ptn-22399 C: G(22399)=8,P1(22399)=6,P2(22399)=14,Z(22399)=0
Ptn-22400 C: G(22400)=8,P1(22400)=6,P2(22400)=14,Z(22400)=0
Ptn-22401 C: G(22401)=8,P1(22401)=6,P2(22401)=14,Z(22401)=0
Ptn-22402 C: G(22402)=8,P1(22402)=6,P2(22402)=14,Z(22402)=0
Ptn-22403 C: G(22403)=8,P1(22403)=6,P2(22403)=14,Z(22403)=0
Ptn-22404 C: G(22404)=8,P1(22404)=6,P2(22404)=14,Z(22404)=0
Ptn-22405 C: G(22405)=8,P1(22405)=6,P2(22405)=14,Z(22405)=0
Ptn-22406 C: G(22406)=8,P1(22406)=6,P2(22406)=14,Z(22406)=0
Ptn-22407 C: G(22407)=8,P1(22407)=6,P2(22407)=14,Z(22407)=0
Ptn-22408 C: G(22408)=8,P1(22408)=6,P2(22408)=14,Z(22408)=0
Ptn-22409 C: G(22409)=8,P1(22409)=6,P2(22409)=14,Z(22409)=0
Ptn-22410 C: G(22410)=8,P1(22410)=6,P2(22410)=14,Z(22410)=0
Ptn-22411 C: G(22411)=8,P1(22411)=6,P2(22411)=14,Z(22411)=0
Ptn-22412 C: G(22412)=8,P1(22412)=6,P2(22412)=14,Z(22412)=0
Ptn-22413 C: G(22413)=8,P1(22413)=6,P2(22413)=14,Z(22413)=0
Ptn-22414 C: G(22414)=8,P1(22414)=6,P2(22414)=14,Z(22414)=0
Ptn-22415 C: G(22415)=8,P1(22415)=6,P2(22415)=14,Z(22415)=0
Ptn-22416 C: G(22416)=8,P1(22416)=6,P2(22416)=14,Z(22416)=0
Ptn-22417 C: G(22417)=8,P1(22417)=6,P2(22417)=14,Z(22417)=0
Ptn-22418 C: G(22418)=8,P1(22418)=6,P2(22418)=14,Z(22418)=0
Ptn-22419 C: G(22419)=8,P1(22419)=6,P2(22419)=14,Z(22419)=0
Ptn-22420 C: G(22420)=8,P1(22420)=6,P2(22420)=14,Z(22420)=0
Ptn-22421 C: G(22421)=8,P1(22421)=6,P2(22421)=14,Z(22421)=0
Ptn-22422 C: G(22422)=8,P1(22422)=6,P2(22422)=14,Z(22422)=0
Ptn-22423 C: G(22423)=8,P1(22423)=6,P2(22423)=14,Z(22423)=0
Ptn-22424 C: G(22424)=8,P1(22424)=6,P2(22424)=14,Z(22424)=0
Ptn-22425 C: G(22425)=8,P1(22425)=6,P2(22425)=14,Z(22425)=0
Ptn-22426 C: G(22426)=8,P1(22426)=6,P2(22426)=14,Z(22426)=0
Ptn-22427 C: G(22427)=8,P1(22427)=6,P2(22427)=14,Z(22427)=0
Ptn-22428 C: G(22428)=8,P1(22428)=6,P2(22428)=14,Z(22428)=0
Ptn-22429 C: G(22429)=8,P1(22429)=6,P2(22429)=14,Z(22429)=0
Ptn-22430 C: G(22430)=8,P1(22430)=6,P2(22430)=14,Z(22430)=0
Ptn-22431 C: G(22431)=8,P1(22431)=6,P2(22431)=14,Z(22431)=0
Ptn-22432 C: G(22432)=7,P1(22432)=6,P2(22432)=14,Z(22432)=0
Ptn-22433 C: G(22433)=8,P1(22433)=6,P2(22433)=14,Z(22433)=0
Ptn-22434 C: G(22434)=8,P1(22434)=6,P2(22434)=14,Z(22434)=0
Ptn-22435 C: G(22435)=8,P1(22435)=6,P2(22435)=14,Z(22435)=0
Ptn-22436 C: G(22436)=8,P1(22436)=6,P2(22436)=14,Z(22436)=0
Ptn-22437 C: G(22437)=8,P1(22437)=6,P2(22437)=14,Z(22437)=0
Ptn-22438 C: G(22438)=5,P1(22438)=6,P2(22438)=14,Z(22438)=0
Ptn-22439 C: G(22439)=5,P1(22439)=6,P2(22439)=14,Z(22439)=0
Ptn-22440 C: G(22440)=5,P1(22440)=6,P2(22440)=14,Z(22440)=0
Ptn-22441 C: G(22441)=5,P1(22441)=6,P2(22441)=14,Z(22441)=0
Ptn-22442 C: G(22442)=5,P1(22442)=6,P2(22442)=14,Z(22442)=0
Ptn-22443 C: G(22443)=5,P1(22443)=6,P2(22443)=14,Z(22443)=0
Ptn-22444 C: G(22444)=5,P1(22444)=6,P2(22444)=14,Z(22444)=0
Ptn-22445 C: G(22445)=5,P1(22445)=6,P2(22445)=14,Z(22445)=0
Ptn-22446 C: G(22446)=8,P1(22446)=6,P2(22446)=14,Z(22446)=0
Ptn-22447 C: G(22447)=8,P1(22447)=6,P2(22447)=14,Z(22447)=0
Ptn-22448 C: G(22448)=8,P1(22448)=6,P2(22448)=14,Z(22448)=0
Ptn-22449 C: G(22449)=8,P1(22449)=6,P2(22449)=14,Z(22449)=0
Ptn-22450 C: G(22450)=8,P1(22450)=6,P2(22450)=14,Z(22450)=0
Ptn-22451 C: G(22451)=8,P1(22451)=6,P2(22451)=14,Z(22451)=0
Ptn-22452 C: G(22452)=8,P1(22452)=6,P2(22452)=14,Z(22452)=0
Ptn-22453 C: G(22453)=8,P1(22453)=6,P2(22453)=14,Z(22453)=0
Ptn-22454 C: G(22454)=8,P1(22454)=6,P2(22454)=14,Z(22454)=0
Ptn-22455 C: G(22455)=8,P1(22455)=6,P2(22455)=14,Z(22455)=0
Ptn-22456 C: G(22456)=8,P1(22456)=6,P2(22456)=14,Z(22456)=0
Ptn-22457 C: G(22457)=8,P1(22457)=6,P2(22457)=14,Z(22457)=0
Ptn-22458 C: G(22458)=8,P1(22458)=6,P2(22458)=14,Z(22458)=0
Ptn-22459 C: G(22459)=8,P1(22459)=6,P2(22459)=14,Z(22459)=0
Ptn-22460 C: G(22460)=8,P1(22460)=6,P2(22460)=14,Z(22460)=0
Ptn-22461 C: G(22461)=8,P1(22461)=6,P2(22461)=14,Z(22461)=0
Ptn-22462 C: G(22462)=8,P1(22462)=6,P2(22462)=14,Z(22462)=0
Ptn-22463 C: G(22463)=8,P1(22463)=6,P2(22463)=14,Z(22463)=0
Ptn-22464 C: G(22464)=8,P1(22464)=6,P2(22464)=14,Z(22464)=0
