========
Segment 0, number of frames = 41853, viterbi-score = 332543.856961
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,Z(0)=1
Ptn-21491 C: G(21491)=6,Z(21491)=1
Ptn-21492 C: G(21492)=6,Z(21492)=1
Ptn-21493 C: G(21493)=6,Z(21493)=1
Ptn-21494 C: G(21494)=6,Z(21494)=1
Ptn-21495 C: G(21495)=6,Z(21495)=1
Ptn-21496 C: G(21496)=6,Z(21496)=1
Ptn-21497 C: G(21497)=6,Z(21497)=1
Ptn-21498 C: G(21498)=6,Z(21498)=1
Ptn-21499 C: G(21499)=6,Z(21499)=1
Ptn-21500 C: G(21500)=6,Z(21500)=1
Ptn-21501 C: G(21501)=6,Z(21501)=1
Ptn-21502 C: G(21502)=6,Z(21502)=1
Ptn-21503 C: G(21503)=8,Z(21503)=1
Ptn-21504 C: G(21504)=8,Z(21504)=1
Ptn-21505 C: G(21505)=6,Z(21505)=1
Ptn-21506 C: G(21506)=6,Z(21506)=1
Ptn-21507 C: G(21507)=6,Z(21507)=1
Ptn-21508 C: G(21508)=6,Z(21508)=1
Ptn-21509 C: G(21509)=6,Z(21509)=1
Ptn-21510 C: G(21510)=6,Z(21510)=1
Ptn-21511 C: G(21511)=6,Z(21511)=1
Ptn-21512 C: G(21512)=6,Z(21512)=1
Ptn-21513 C: G(21513)=6,Z(21513)=1
Ptn-21514 C: G(21514)=6,Z(21514)=1
Ptn-21515 C: G(21515)=6,Z(21515)=1
Ptn-21516 C: G(21516)=6,Z(21516)=1
Ptn-21517 C: G(21517)=6,Z(21517)=1
Ptn-21518 C: G(21518)=6,Z(21518)=1
Ptn-21519 C: G(21519)=4,Z(21519)=1
Ptn-21520 C: G(21520)=5,Z(21520)=1
Ptn-21521 C: G(21521)=5,Z(21521)=1
Ptn-21522 C: G(21522)=5,Z(21522)=1
Ptn-21523 C: G(21523)=5,Z(21523)=1
Ptn-21524 C: G(21524)=5,Z(21524)=1
Ptn-21525 C: G(21525)=5,Z(21525)=1
Ptn-21526 C: G(21526)=5,Z(21526)=1
Ptn-21527 C: G(21527)=5,Z(21527)=1
Ptn-21528 C: G(21528)=5,Z(21528)=1
Ptn-21529 C: G(21529)=5,Z(21529)=1
Ptn-21530 C: G(21530)=5,Z(21530)=1
Ptn-21531 C: G(21531)=5,Z(21531)=1
Ptn-21532 C: G(21532)=5,Z(21532)=1
Ptn-21533 C: G(21533)=5,Z(21533)=1
Ptn-21534 C: G(21534)=5,Z(21534)=1
Ptn-21535 C: G(21535)=5,Z(21535)=1
Ptn-21536 C: G(21536)=5,Z(21536)=1
Ptn-21537 C: G(21537)=5,Z(21537)=1
Ptn-21538 C: G(21538)=5,Z(21538)=1
Ptn-21539 C: G(21539)=6,Z(21539)=1
Ptn-21540 C: G(21540)=6,Z(21540)=1
Ptn-21541 C: G(21541)=6,Z(21541)=1
Ptn-21542 C: G(21542)=6,Z(21542)=1
Ptn-21543 C: G(21543)=6,Z(21543)=1
Ptn-21544 C: G(21544)=6,Z(21544)=1
Ptn-21545 C: G(21545)=6,Z(21545)=1
Ptn-21546 C: G(21546)=6,Z(21546)=1
Ptn-21547 C: G(21547)=6,Z(21547)=1
Ptn-21548 C: G(21548)=6,Z(21548)=1
Ptn-21549 C: G(21549)=6,Z(21549)=1
Ptn-21550 C: G(21550)=6,Z(21550)=1
Ptn-21551 C: G(21551)=6,Z(21551)=1
Ptn-21552 C: G(21552)=3,Z(21552)=1
Ptn-21553 C: G(21553)=3,Z(21553)=1
Ptn-21554 C: G(21554)=6,Z(21554)=1
Ptn-21555 C: G(21555)=6,Z(21555)=1
Ptn-21556 C: G(21556)=6,Z(21556)=1
Ptn-21557 C: G(21557)=6,Z(21557)=1
Ptn-21558 C: G(21558)=6,Z(21558)=1
Ptn-21559 C: G(21559)=6,Z(21559)=1
Ptn-21560 C: G(21560)=5,Z(21560)=1
Ptn-21561 C: G(21561)=5,Z(21561)=1
Ptn-21562 C: G(21562)=5,Z(21562)=1
Ptn-21563 C: G(21563)=5,Z(21563)=1
Ptn-21564 C: G(21564)=5,Z(21564)=1
Ptn-21565 C: G(21565)=5,Z(21565)=1
Ptn-21566 C: G(21566)=5,Z(21566)=1
Ptn-21567 C: G(21567)=5,Z(21567)=1
Ptn-21568 C: G(21568)=5,Z(21568)=1
Ptn-21569 C: G(21569)=5,Z(21569)=1
Ptn-21570 C: G(21570)=5,Z(21570)=1
Ptn-21571 C: G(21571)=5,Z(21571)=1
Ptn-21572 C: G(21572)=5,Z(21572)=1
Ptn-21573 C: G(21573)=5,Z(21573)=1
Ptn-21574 C: G(21574)=5,Z(21574)=1
Ptn-21575 C: G(21575)=4,Z(21575)=1
Ptn-21576 C: G(21576)=4,Z(21576)=1
Ptn-21577 C: G(21577)=4,Z(21577)=1
Ptn-21578 C: G(21578)=5,Z(21578)=1
Ptn-21579 C: G(21579)=5,Z(21579)=1
Ptn-21580 C: G(21580)=5,Z(21580)=1
Ptn-21581 C: G(21581)=5,Z(21581)=0
Ptn-21582 C: G(21582)=5,Z(21582)=0
Ptn-21583 C: G(21583)=5,Z(21583)=0
Ptn-21584 C: G(21584)=5,Z(21584)=1
Ptn-21585 C: G(21585)=5,Z(21585)=1
Ptn-21586 C: G(21586)=6,Z(21586)=1
Ptn-21587 C: G(21587)=6,Z(21587)=1
Ptn-21588 C: G(21588)=6,Z(21588)=1
Ptn-21589 C: G(21589)=6,Z(21589)=1
Ptn-21590 C: G(21590)=6,Z(21590)=1
Ptn-21591 C: G(21591)=5,Z(21591)=1
Ptn-21592 C: G(21592)=5,Z(21592)=1
Ptn-21593 C: G(21593)=6,Z(21593)=1
Ptn-21594 C: G(21594)=6,Z(21594)=1
Ptn-21595 C: G(21595)=5,Z(21595)=1
Ptn-21596 C: G(21596)=5,Z(21596)=1
Ptn-21597 C: G(21597)=4,Z(21597)=1
Ptn-21598 C: G(21598)=4,Z(21598)=1
Ptn-21599 C: G(21599)=4,Z(21599)=1
Ptn-21600 C: G(21600)=6,Z(21600)=1
Ptn-21601 C: G(21601)=6,Z(21601)=1
Ptn-21602 C: G(21602)=6,Z(21602)=1
Ptn-21603 C: G(21603)=6,Z(21603)=1
Ptn-21604 C: G(21604)=6,Z(21604)=1
Ptn-21605 C: G(21605)=6,Z(21605)=1
Ptn-21606 C: G(21606)=6,Z(21606)=1
Ptn-21607 C: G(21607)=5,Z(21607)=1
Ptn-21608 C: G(21608)=5,Z(21608)=1
Ptn-21609 C: G(21609)=5,Z(21609)=1
Ptn-21610 C: G(21610)=5,Z(21610)=1
Ptn-21611 C: G(21611)=6,Z(21611)=1
Ptn-21612 C: G(21612)=6,Z(21612)=1
Ptn-21613 C: G(21613)=6,Z(21613)=1
Ptn-21614 C: G(21614)=6,Z(21614)=1
Ptn-21615 C: G(21615)=6,Z(21615)=1
Ptn-21616 C: G(21616)=6,Z(21616)=1
Ptn-21617 C: G(21617)=6,Z(21617)=1
Ptn-21618 C: G(21618)=6,Z(21618)=1
Ptn-21619 C: G(21619)=6,Z(21619)=1
Ptn-21620 C: G(21620)=6,Z(21620)=1
Ptn-21621 C: G(21621)=6,Z(21621)=1
Ptn-21622 C: G(21622)=6,Z(21622)=1
Ptn-21623 C: G(21623)=6,Z(21623)=1
Ptn-21624 C: G(21624)=6,Z(21624)=1
Ptn-21625 C: G(21625)=6,Z(21625)=1
Ptn-21626 C: G(21626)=6,Z(21626)=1
Ptn-21627 C: G(21627)=6,Z(21627)=1
Ptn-21628 C: G(21628)=6,Z(21628)=1
Ptn-21629 C: G(21629)=10,Z(21629)=1
Ptn-21630 C: G(21630)=10,Z(21630)=1
Ptn-21631 C: G(21631)=10,Z(21631)=1
Ptn-21632 C: G(21632)=10,Z(21632)=1
Ptn-21633 C: G(21633)=10,Z(21633)=1
Ptn-21634 C: G(21634)=10,Z(21634)=1
Ptn-21635 C: G(21635)=10,Z(21635)=1
Ptn-21636 C: G(21636)=10,Z(21636)=1
Ptn-21637 C: G(21637)=10,Z(21637)=1
Ptn-21638 C: G(21638)=5,Z(21638)=1
Ptn-21639 C: G(21639)=5,Z(21639)=1
Ptn-21640 C: G(21640)=5,Z(21640)=1
Ptn-21641 C: G(21641)=6,Z(21641)=1
Ptn-21642 C: G(21642)=6,Z(21642)=1
Ptn-21643 C: G(21643)=6,Z(21643)=1
Ptn-21644 C: G(21644)=6,Z(21644)=1
Ptn-21645 C: G(21645)=6,Z(21645)=1
Ptn-21646 C: G(21646)=6,Z(21646)=1
Ptn-21647 C: G(21647)=6,Z(21647)=1
Ptn-21648 C: G(21648)=6,Z(21648)=1
Ptn-21649 C: G(21649)=6,Z(21649)=1
Ptn-21650 C: G(21650)=6,Z(21650)=1
Ptn-21651 C: G(21651)=6,Z(21651)=1
Ptn-21652 C: G(21652)=6,Z(21652)=1
Ptn-21653 C: G(21653)=6,Z(21653)=1
Ptn-21654 C: G(21654)=6,Z(21654)=1
Ptn-21655 C: G(21655)=6,Z(21655)=1
Ptn-21656 C: G(21656)=6,Z(21656)=1
Ptn-21657 C: G(21657)=6,Z(21657)=1
Ptn-21658 C: G(21658)=6,Z(21658)=1
Ptn-21659 C: G(21659)=6,Z(21659)=1
Ptn-21660 C: G(21660)=6,Z(21660)=1
Ptn-21661 C: G(21661)=6,Z(21661)=1
Ptn-21662 C: G(21662)=6,Z(21662)=1
Ptn-21663 C: G(21663)=3,Z(21663)=0
Ptn-21664 C: G(21664)=3,Z(21664)=0
Ptn-21665 C: G(21665)=3,Z(21665)=0
Ptn-21666 C: G(21666)=3,Z(21666)=0
Ptn-21667 C: G(21667)=3,Z(21667)=0
Ptn-21668 C: G(21668)=3,Z(21668)=0
Ptn-21669 C: G(21669)=3,Z(21669)=0
Ptn-21670 C: G(21670)=3,Z(21670)=0
Ptn-21671 C: G(21671)=3,Z(21671)=0
Ptn-21672 C: G(21672)=3,Z(21672)=0
Ptn-21673 C: G(21673)=3,Z(21673)=0
Ptn-21674 C: G(21674)=3,Z(21674)=0
Ptn-21675 C: G(21675)=3,Z(21675)=0
Ptn-21676 C: G(21676)=3,Z(21676)=0
Ptn-21677 C: G(21677)=3,Z(21677)=1
Ptn-21678 C: G(21678)=3,Z(21678)=0
Ptn-21679 C: G(21679)=3,Z(21679)=0
Ptn-21680 C: G(21680)=3,Z(21680)=0
Ptn-21681 C: G(21681)=3,Z(21681)=0
Ptn-21682 C: G(21682)=3,Z(21682)=0
Ptn-21683 C: G(21683)=3,Z(21683)=0
Ptn-21684 C: G(21684)=3,Z(21684)=0
Ptn-21685 C: G(21685)=3,Z(21685)=0
Ptn-21686 C: G(21686)=3,Z(21686)=0
Ptn-21687 C: G(21687)=3,Z(21687)=0
Ptn-21688 C: G(21688)=3,Z(21688)=0
Ptn-21689 C: G(21689)=3,Z(21689)=1
Ptn-21690 C: G(21690)=3,Z(21690)=0
Ptn-21691 C: G(21691)=3,Z(21691)=0
Ptn-21692 C: G(21692)=3,Z(21692)=0
Ptn-21693 C: G(21693)=3,Z(21693)=0
Ptn-21694 C: G(21694)=3,Z(21694)=0
Ptn-21695 C: G(21695)=3,Z(21695)=0
Ptn-21696 C: G(21696)=3,Z(21696)=0
Ptn-21697 C: G(21697)=3,Z(21697)=0
Ptn-21698 C: G(21698)=3,Z(21698)=0
Ptn-21699 C: G(21699)=3,Z(21699)=0
Ptn-21700 C: G(21700)=3,Z(21700)=0
Ptn-21701 C: G(21701)=3,Z(21701)=0
Ptn-21702 C: G(21702)=3,Z(21702)=0
Ptn-21703 C: G(21703)=3,Z(21703)=0
Ptn-21704 C: G(21704)=3,Z(21704)=0
Ptn-21705 C: G(21705)=3,Z(21705)=0
Ptn-21706 C: G(21706)=3,Z(21706)=1
Ptn-21707 C: G(21707)=3,Z(21707)=0
Ptn-21708 C: G(21708)=3,Z(21708)=0
Ptn-21709 C: G(21709)=3,Z(21709)=0
Ptn-21710 C: G(21710)=3,Z(21710)=0
Ptn-21711 C: G(21711)=3,Z(21711)=0
Ptn-21712 C: G(21712)=3,Z(21712)=0
Ptn-21713 C: G(21713)=3,Z(21713)=0
Ptn-21714 C: G(21714)=3,Z(21714)=0
Ptn-21715 C: G(21715)=3,Z(21715)=0
Ptn-21716 C: G(21716)=3,Z(21716)=0
Ptn-21717 C: G(21717)=3,Z(21717)=0
Ptn-21718 C: G(21718)=3,Z(21718)=0
Ptn-21719 C: G(21719)=3,Z(21719)=0
Ptn-21720 C: G(21720)=3,Z(21720)=0
Ptn-21721 C: G(21721)=3,Z(21721)=0
Ptn-21722 C: G(21722)=3,Z(21722)=0
Ptn-21723 C: G(21723)=3,Z(21723)=0
Ptn-21724 C: G(21724)=3,Z(21724)=0
Ptn-21725 C: G(21725)=3,Z(21725)=0
Ptn-21726 C: G(21726)=3,Z(21726)=0
Ptn-21727 C: G(21727)=3,Z(21727)=0
Ptn-21728 C: G(21728)=3,Z(21728)=0
Ptn-21729 C: G(21729)=3,Z(21729)=0
Ptn-21730 C: G(21730)=3,Z(21730)=0
Ptn-21731 C: G(21731)=3,Z(21731)=0
Ptn-21732 C: G(21732)=3,Z(21732)=0
Ptn-21733 C: G(21733)=3,Z(21733)=0
Ptn-21734 C: G(21734)=3,Z(21734)=0
Ptn-21735 C: G(21735)=3,Z(21735)=0
Ptn-21736 C: G(21736)=3,Z(21736)=0
Ptn-21737 C: G(21737)=3,Z(21737)=0
Ptn-21738 C: G(21738)=3,Z(21738)=0
Ptn-21739 C: G(21739)=3,Z(21739)=0
Ptn-21740 C: G(21740)=3,Z(21740)=0
Ptn-21741 C: G(21741)=3,Z(21741)=0
Ptn-21742 C: G(21742)=3,Z(21742)=0
Ptn-21743 C: G(21743)=3,Z(21743)=0
Ptn-21744 C: G(21744)=3,Z(21744)=0
Ptn-21745 C: G(21745)=3,Z(21745)=0
Ptn-21746 C: G(21746)=3,Z(21746)=0
Ptn-21747 C: G(21747)=3,Z(21747)=0
Ptn-21748 C: G(21748)=3,Z(21748)=0
Ptn-21749 C: G(21749)=3,Z(21749)=0
Ptn-21750 C: G(21750)=3,Z(21750)=0
Ptn-21751 C: G(21751)=3,Z(21751)=0
Ptn-21752 C: G(21752)=3,Z(21752)=0
Ptn-21753 C: G(21753)=3,Z(21753)=0
Ptn-21754 C: G(21754)=3,Z(21754)=0
Ptn-21755 C: G(21755)=3,Z(21755)=0
Ptn-21756 C: G(21756)=3,Z(21756)=0
Ptn-21757 C: G(21757)=3,Z(21757)=0
Ptn-21758 C: G(21758)=3,Z(21758)=0
Ptn-21759 C: G(21759)=3,Z(21759)=0
Ptn-21760 C: G(21760)=3,Z(21760)=0
Ptn-21761 C: G(21761)=3,Z(21761)=0
Ptn-21762 C: G(21762)=3,Z(21762)=0
Ptn-21763 C: G(21763)=3,Z(21763)=0
Ptn-21764 C: G(21764)=3,Z(21764)=0
Ptn-21765 C: G(21765)=3,Z(21765)=0
Ptn-21766 C: G(21766)=3,Z(21766)=0
Ptn-21767 C: G(21767)=3,Z(21767)=0
Ptn-21768 C: G(21768)=3,Z(21768)=0
Ptn-21769 C: G(21769)=3,Z(21769)=0
Ptn-21770 C: G(21770)=3,Z(21770)=0
Ptn-21771 C: G(21771)=3,Z(21771)=0
Ptn-21772 C: G(21772)=3,Z(21772)=0
Ptn-21773 C: G(21773)=3,Z(21773)=0
Ptn-21774 C: G(21774)=3,Z(21774)=0
Ptn-21775 C: G(21775)=3,Z(21775)=0
Ptn-21776 C: G(21776)=3,Z(21776)=0
Ptn-21777 C: G(21777)=3,Z(21777)=0
Ptn-21778 C: G(21778)=3,Z(21778)=0
Ptn-21779 C: G(21779)=3,Z(21779)=0
Ptn-21780 C: G(21780)=3,Z(21780)=0
Ptn-21781 C: G(21781)=3,Z(21781)=0
Ptn-21782 C: G(21782)=3,Z(21782)=0
Ptn-21783 C: G(21783)=3,Z(21783)=0
Ptn-21784 C: G(21784)=3,Z(21784)=0
Ptn-21785 C: G(21785)=3,Z(21785)=0
Ptn-21786 C: G(21786)=3,Z(21786)=0
Ptn-21787 C: G(21787)=3,Z(21787)=0
Ptn-21788 C: G(21788)=3,Z(21788)=0
Ptn-21789 C: G(21789)=3,Z(21789)=0
Ptn-21790 C: G(21790)=3,Z(21790)=0
Ptn-21791 C: G(21791)=3,Z(21791)=0
Ptn-21792 C: G(21792)=3,Z(21792)=0
Ptn-21793 C: G(21793)=3,Z(21793)=0
Ptn-21794 C: G(21794)=3,Z(21794)=0
Ptn-21795 C: G(21795)=3,Z(21795)=0
Ptn-21796 C: G(21796)=3,Z(21796)=0
Ptn-21797 C: G(21797)=3,Z(21797)=0
Ptn-21798 C: G(21798)=3,Z(21798)=0
Ptn-21799 C: G(21799)=3,Z(21799)=0
Ptn-21800 C: G(21800)=3,Z(21800)=0
Ptn-21801 C: G(21801)=3,Z(21801)=0
Ptn-21802 C: G(21802)=3,Z(21802)=0
Ptn-21803 C: G(21803)=3,Z(21803)=0
Ptn-21804 C: G(21804)=3,Z(21804)=0
Ptn-21805 C: G(21805)=3,Z(21805)=0
Ptn-21806 C: G(21806)=3,Z(21806)=0
Ptn-21807 C: G(21807)=3,Z(21807)=0
Ptn-21808 C: G(21808)=3,Z(21808)=0
Ptn-21809 C: G(21809)=3,Z(21809)=0
Ptn-21810 C: G(21810)=3,Z(21810)=0
Ptn-21811 C: G(21811)=3,Z(21811)=0
Ptn-21812 C: G(21812)=3,Z(21812)=0
Ptn-21813 C: G(21813)=3,Z(21813)=0
Ptn-21814 C: G(21814)=3,Z(21814)=0
Ptn-21815 C: G(21815)=3,Z(21815)=0
Ptn-21816 C: G(21816)=3,Z(21816)=0
Ptn-21817 C: G(21817)=3,Z(21817)=0
Ptn-21818 C: G(21818)=3,Z(21818)=0
Ptn-21819 C: G(21819)=3,Z(21819)=0
Ptn-21820 C: G(21820)=3,Z(21820)=0
Ptn-21821 C: G(21821)=3,Z(21821)=0
Ptn-21822 C: G(21822)=3,Z(21822)=0
Ptn-21823 C: G(21823)=3,Z(21823)=0
Ptn-21824 C: G(21824)=3,Z(21824)=0
Ptn-21825 C: G(21825)=3,Z(21825)=0
Ptn-21826 C: G(21826)=3,Z(21826)=0
Ptn-21827 C: G(21827)=3,Z(21827)=0
Ptn-21828 C: G(21828)=3,Z(21828)=0
Ptn-21829 C: G(21829)=3,Z(21829)=0
Ptn-21830 C: G(21830)=3,Z(21830)=0
Ptn-21831 C: G(21831)=3,Z(21831)=0
Ptn-21832 C: G(21832)=3,Z(21832)=0
Ptn-21833 C: G(21833)=3,Z(21833)=0
Ptn-21834 C: G(21834)=3,Z(21834)=0
Ptn-21835 C: G(21835)=3,Z(21835)=0
Ptn-21836 C: G(21836)=3,Z(21836)=0
Ptn-21837 C: G(21837)=3,Z(21837)=0
Ptn-21838 C: G(21838)=3,Z(21838)=0
Ptn-21839 C: G(21839)=3,Z(21839)=0
Ptn-21840 C: G(21840)=3,Z(21840)=0
Ptn-21841 C: G(21841)=3,Z(21841)=0
Ptn-21842 C: G(21842)=3,Z(21842)=0
Ptn-21843 C: G(21843)=3,Z(21843)=0
Ptn-21844 C: G(21844)=3,Z(21844)=0
Ptn-21845 C: G(21845)=3,Z(21845)=0
Ptn-21846 C: G(21846)=3,Z(21846)=0
Ptn-21847 C: G(21847)=3,Z(21847)=0
Ptn-21848 C: G(21848)=3,Z(21848)=0
Ptn-21849 C: G(21849)=3,Z(21849)=0
Ptn-21850 C: G(21850)=3,Z(21850)=0
Ptn-21851 C: G(21851)=3,Z(21851)=0
Ptn-21852 C: G(21852)=3,Z(21852)=2
Ptn-21853 C: G(21853)=3,Z(21853)=2
Ptn-21854 C: G(21854)=3,Z(21854)=2
Ptn-21855 C: G(21855)=3,Z(21855)=0
Ptn-21856 C: G(21856)=3,Z(21856)=1
Ptn-21857 C: G(21857)=3,Z(21857)=0
Ptn-21858 C: G(21858)=3,Z(21858)=0
Ptn-21859 C: G(21859)=3,Z(21859)=0
Ptn-21860 C: G(21860)=3,Z(21860)=0
Ptn-21861 C: G(21861)=3,Z(21861)=0
Ptn-21862 C: G(21862)=3,Z(21862)=0
Ptn-21863 C: G(21863)=3,Z(21863)=0
Ptn-21864 C: G(21864)=3,Z(21864)=0
Ptn-21865 C: G(21865)=3,Z(21865)=0
Ptn-21866 C: G(21866)=3,Z(21866)=0
Ptn-21867 C: G(21867)=3,Z(21867)=0
Ptn-21868 C: G(21868)=3,Z(21868)=0
Ptn-21869 C: G(21869)=3,Z(21869)=0
Ptn-21870 C: G(21870)=3,Z(21870)=0
Ptn-21871 C: G(21871)=3,Z(21871)=0
Ptn-21872 C: G(21872)=3,Z(21872)=0
Ptn-21873 C: G(21873)=3,Z(21873)=0
Ptn-21874 C: G(21874)=3,Z(21874)=0
Ptn-21875 C: G(21875)=3,Z(21875)=0
Ptn-21876 C: G(21876)=3,Z(21876)=0
Ptn-21877 C: G(21877)=3,Z(21877)=0
Ptn-21878 C: G(21878)=3,Z(21878)=0
Ptn-21879 C: G(21879)=3,Z(21879)=0
Ptn-21880 C: G(21880)=3,Z(21880)=0
Ptn-21881 C: G(21881)=3,Z(21881)=0
Ptn-21882 C: G(21882)=3,Z(21882)=0
Ptn-21883 C: G(21883)=3,Z(21883)=0
Ptn-21884 C: G(21884)=3,Z(21884)=0
Ptn-21885 C: G(21885)=3,Z(21885)=0
Ptn-21886 C: G(21886)=3,Z(21886)=0
Ptn-21887 C: G(21887)=3,Z(21887)=0
Ptn-21888 C: G(21888)=3,Z(21888)=0
Ptn-21889 C: G(21889)=3,Z(21889)=0
Ptn-21890 C: G(21890)=3,Z(21890)=0
Ptn-21891 C: G(21891)=3,Z(21891)=0
Ptn-21892 C: G(21892)=3,Z(21892)=0
Ptn-21893 C: G(21893)=3,Z(21893)=0
Ptn-21894 C: G(21894)=3,Z(21894)=0
Ptn-21895 C: G(21895)=3,Z(21895)=0
Ptn-21896 C: G(21896)=3,Z(21896)=0
Ptn-21897 C: G(21897)=3,Z(21897)=0
Ptn-21898 C: G(21898)=3,Z(21898)=0
Ptn-21899 C: G(21899)=3,Z(21899)=0
Ptn-21900 C: G(21900)=3,Z(21900)=0
Ptn-21901 C: G(21901)=3,Z(21901)=0
Ptn-21902 C: G(21902)=3,Z(21902)=0
Ptn-21903 C: G(21903)=3,Z(21903)=0
Ptn-21904 C: G(21904)=3,Z(21904)=0
Ptn-21905 C: G(21905)=3,Z(21905)=0
Ptn-21906 C: G(21906)=3,Z(21906)=0
Ptn-21907 C: G(21907)=3,Z(21907)=0
Ptn-21908 C: G(21908)=3,Z(21908)=0
Ptn-21909 C: G(21909)=3,Z(21909)=0
Ptn-21910 C: G(21910)=3,Z(21910)=0
Ptn-21911 C: G(21911)=3,Z(21911)=0
Ptn-21912 C: G(21912)=3,Z(21912)=3
Ptn-21913 C: G(21913)=3,Z(21913)=0
Ptn-21914 C: G(21914)=3,Z(21914)=0
Ptn-21915 C: G(21915)=3,Z(21915)=0
Ptn-21916 C: G(21916)=3,Z(21916)=0
Ptn-21917 C: G(21917)=3,Z(21917)=0
Ptn-21918 C: G(21918)=3,Z(21918)=0
Ptn-21919 C: G(21919)=3,Z(21919)=0
Ptn-21920 C: G(21920)=3,Z(21920)=0
Ptn-21921 C: G(21921)=3,Z(21921)=0
Ptn-21922 C: G(21922)=3,Z(21922)=0
Ptn-21923 C: G(21923)=3,Z(21923)=0
Ptn-21924 C: G(21924)=3,Z(21924)=0
Ptn-21925 C: G(21925)=3,Z(21925)=0
Ptn-21926 C: G(21926)=3,Z(21926)=0
Ptn-21927 C: G(21927)=3,Z(21927)=0
Ptn-21928 C: G(21928)=3,Z(21928)=0
Ptn-21929 C: G(21929)=3,Z(21929)=0
Ptn-21930 C: G(21930)=3,Z(21930)=0
Ptn-21931 C: G(21931)=3,Z(21931)=0
Ptn-21932 C: G(21932)=3,Z(21932)=0
Ptn-21933 C: G(21933)=3,Z(21933)=0
Ptn-21934 C: G(21934)=3,Z(21934)=0
Ptn-21935 C: G(21935)=3,Z(21935)=0
Ptn-21936 C: G(21936)=3,Z(21936)=0
Ptn-21937 C: G(21937)=3,Z(21937)=0
Ptn-21938 C: G(21938)=3,Z(21938)=0
Ptn-21939 C: G(21939)=3,Z(21939)=0
Ptn-21940 C: G(21940)=3,Z(21940)=0
Ptn-21941 C: G(21941)=3,Z(21941)=0
Ptn-21942 C: G(21942)=3,Z(21942)=0
Ptn-21943 C: G(21943)=3,Z(21943)=0
Ptn-21944 C: G(21944)=3,Z(21944)=0
Ptn-21945 C: G(21945)=3,Z(21945)=0
Ptn-21946 C: G(21946)=3,Z(21946)=0
Ptn-21947 C: G(21947)=3,Z(21947)=0
Ptn-21948 C: G(21948)=3,Z(21948)=0
Ptn-21949 C: G(21949)=3,Z(21949)=0
Ptn-21950 C: G(21950)=3,Z(21950)=0
Ptn-21951 C: G(21951)=3,Z(21951)=0
Ptn-21952 C: G(21952)=3,Z(21952)=0
Ptn-21953 C: G(21953)=3,Z(21953)=0
Ptn-21954 C: G(21954)=3,Z(21954)=0
Ptn-21955 C: G(21955)=3,Z(21955)=0
Ptn-21956 C: G(21956)=3,Z(21956)=0
Ptn-21957 C: G(21957)=3,Z(21957)=0
Ptn-21958 C: G(21958)=3,Z(21958)=1
Ptn-21959 C: G(21959)=3,Z(21959)=0
Ptn-21960 C: G(21960)=3,Z(21960)=0
Ptn-21961 C: G(21961)=3,Z(21961)=0
Ptn-21962 C: G(21962)=3,Z(21962)=0
Ptn-21963 C: G(21963)=3,Z(21963)=0
Ptn-21964 C: G(21964)=3,Z(21964)=0
Ptn-21965 C: G(21965)=3,Z(21965)=0
Ptn-21966 C: G(21966)=3,Z(21966)=0
Ptn-21967 C: G(21967)=1,Z(21967)=0
Ptn-21968 C: G(21968)=1,Z(21968)=0
Ptn-21969 C: G(21969)=1,Z(21969)=0
Ptn-21970 C: G(21970)=1,Z(21970)=1
Ptn-21971 C: G(21971)=1,Z(21971)=1
Ptn-21972 C: G(21972)=1,Z(21972)=0
Ptn-21973 C: G(21973)=1,Z(21973)=0
Ptn-21974 C: G(21974)=1,Z(21974)=0
Ptn-21975 C: G(21975)=1,Z(21975)=0
Ptn-21976 C: G(21976)=3,Z(21976)=1
Ptn-21977 C: G(21977)=3,Z(21977)=0
Ptn-21978 C: G(21978)=3,Z(21978)=0
Ptn-21979 C: G(21979)=3,Z(21979)=0
Ptn-21980 C: G(21980)=3,Z(21980)=0
Ptn-21981 C: G(21981)=3,Z(21981)=0
Ptn-21982 C: G(21982)=3,Z(21982)=0
Ptn-21983 C: G(21983)=3,Z(21983)=0
Ptn-21984 C: G(21984)=3,Z(21984)=0
Ptn-21985 C: G(21985)=3,Z(21985)=0
Ptn-21986 C: G(21986)=3,Z(21986)=0
Ptn-21987 C: G(21987)=3,Z(21987)=0
Ptn-21988 C: G(21988)=3,Z(21988)=0
Ptn-21989 C: G(21989)=3,Z(21989)=0
Ptn-21990 C: G(21990)=3,Z(21990)=0
Ptn-21991 C: G(21991)=3,Z(21991)=0
Ptn-21992 C: G(21992)=3,Z(21992)=0
Ptn-21993 C: G(21993)=3,Z(21993)=0
Ptn-21994 C: G(21994)=3,Z(21994)=0
Ptn-21995 C: G(21995)=3,Z(21995)=0
Ptn-21996 C: G(21996)=3,Z(21996)=0
Ptn-21997 C: G(21997)=3,Z(21997)=0
Ptn-21998 C: G(21998)=3,Z(21998)=0
Ptn-21999 C: G(21999)=3,Z(21999)=0
Ptn-22000 C: G(22000)=3,Z(22000)=0
Ptn-22001 C: G(22001)=3,Z(22001)=0
Ptn-22002 C: G(22002)=3,Z(22002)=0
Ptn-22003 C: G(22003)=3,Z(22003)=0
Ptn-22004 C: G(22004)=3,Z(22004)=0
Ptn-22005 C: G(22005)=3,Z(22005)=0
